energy_carb,energy_protein,energy_fibre,energy_fat,h_nutrients_calories
75.97383143,19.54463549,2.847974027,80.40547101,1.529687757
72.2864421,21.18762425,2.828158129,79.34854176,1.559695068
75.88320946,20.05551669,2.881214229,78.05447277,1.546838859
77.71415087,18.81468056,2.858782478,76.47723735,1.539350392
75.62831423,21.03126881,2.948397073,82.23222339,1.544783805
72.14810671,20.21515818,2.75980464,77.52132101,1.555264731
72.15662731,19.90256205,2.8515971,75.82740123,1.558589209
78.46033082,20.79663754,2.908026126,80.32722233,1.55194118
78.33868609,19.64083405,2.912205084,76.37115681,1.537119047
75.1459873,19.84260042,2.818126182,80.3758573,1.535661566
75.39574652,21.40802192,2.863102664,74.96182744,1.566062072
74.02491087,19.57467794,2.735849057,76.77330254,1.551454662
82.84710979,20.79713146,2.966526052,82.33742196,1.520178565
85.17878643,20.9219532,2.879895877,75.87735575,1.536321553
75.79400171,20.62977721,2.926199657,80.0441009,1.544932616
73.34856227,19.81427579,2.710732229,81.57409754,1.548285049
80.36071666,19.5342933,3.225989825,77.35336762,1.535004481
70.22620692,21.35398389,3.067055268,77.81024032,1.579633216
76.49620578,21.04317756,2.863080014,74.97855122,1.562769386
63.37379638,19.60141733,3.032912693,74.28903294,1.584691492
66.49082587,19.96419323,2.828769294,72.90252947,1.579912381
66.54698493,21.30510665,3.004697453,78.12250473,1.589248524
70.4319732,21.04351146,2.976270191,78.23299712,1.584532491
67.0422718,21.5750479,3.139172957,78.27498037,1.59220043
66.63677991,16.95025458,2.9907484,68.89468108,1.555657629
62.02182427,19.81421735,3.130815642,73.414256,1.589852951
61.33647923,19.30141511,3.247031443,74.73098972,1.579789327
64.39750052,17.76041012,3.084095128,64.5008988,1.585616908
70.29334046,18.78226283,3.000052003,73.08112871,1.553788467
62.07547809,18.4493131,2.995366787,68.14698517,1.586734282
69.65807855,21.4506596,3.090361054,78.31440889,1.604296712
65.35113114,20.37331077,3.024058686,75.83526689,1.583359562
67.13352516,20.92896305,3.006966064,76.12355837,1.598083997
64.63406025,20.65994107,3.075252738,76.46296325,1.589225095
72.63005231,20.98840579,2.955348867,78.78396482,1.583833414
62.87087677,21.07165417,3.016420218,76.06823694,1.596952751
63.18543243,18.28524897,3.090689225,70.72653724,1.575551088
67.53773056,20.90862852,3.019908087,78.02523093,1.576981272
77.84566651,19.84367887,2.891507748,77.73442321,1.541767767
70.48885682,19.44048891,2.873036154,78.53281122,1.54670853
65.08168228,20.52198367,3.090840281,73.49511543,1.593665987
72.34575583,20.52280998,2.942573013,76.91055126,1.567995656
71.22564295,20.84366986,2.933783014,78.1390115,1.573024593
72.13274934,19.91784316,2.962192664,79.13702539,1.550175243
74.72328337,21.34036145,2.883003306,79.889245,1.552619888
70.64466896,21.80139785,2.918998905,78.7426819,1.574783457
72.70872429,18.49079658,3.050402654,79.96916166,1.536572116
66.8298141,20.12915507,2.907925635,75.62368407,1.587413432
64.56444388,20.39096396,2.973163947,80.01153301,1.571923514
69.04207358,19.41862459,3.021341788,74.74073822,1.561890072
70.32496486,18.98332036,2.890791549,75.59671937,1.563209316
63.75750891,20.68581436,3.009464709,76.9679294,1.59443694
72.51545297,19.51416218,2.823503051,74.05919076,1.562436119
75.9225315,20.67639572,2.8218522,75.19473417,1.550610409
70.63732834,19.27291244,2.822523625,76.12775246,1.550498227
71.65306744,19.78846123,2.883275044,74.06480473,1.566131734
68.98711336,20.34251325,2.959924049,76.62072392,1.576038304
73.42372093,19.32197559,2.821744554,74.38343865,1.55481768
72.62984827,20.78980831,2.918446028,80.44835602,1.558483125
74.70285898,22.45193857,3.21417678,81.86220599,1.578353333
74.86672156,21.12512609,3.235604735,77.42089732,1.571228387
74.1944557,20.65415739,3.125598194,73.31254005,1.588601852
78.32259982,21.31905926,3.464191838,81.03404312,1.552714405
72.33191161,20.52031753,3.20654366,74.12103991,1.576436006
73.30472485,20.46621634,2.83768009,83.97156501,1.571356065
69.83245018,20.34508596,3.077913271,78.43905538,1.579423798
85.51280279,21.38654961,3.016916832,76.82261852,1.551630012
76.48210263,21.27080517,2.880892783,80.38438986,1.551328436
69.37598408,20.19341045,2.789283614,74.49252575,1.602318155
72.75988188,21.15880399,3.053451458,85.910299,1.545795751
83.53691992,21.43837919,3.365451061,80.38410801,1.547590458
81.09062516,20.9373424,3.116505362,76.77176798,1.560095485
78.79591461,21.4288435,3.08838888,79.14007142,1.560600473
74.65049983,21.42880834,2.919347898,80.97720953,1.553966928
76.1405759,19.90236708,3.112905912,76.87839182,1.557077134
73.78105049,19.47931911,2.883557364,78.49537207,1.575871128
77.98898177,21.87838429,3.5314446,80.46419074,1.561078642
76.11254426,20.14874534,2.945822725,81.55467582,1.543938855
77.67748781,21.8570829,3.303916063,80.9753155,1.584000676
72.53765085,21.28077429,3.136360378,74.83734329,1.595393686
55.76964024,19.36106906,3.067108219,73.12755744,1.605277973
62.77746848,20.16263822,2.886338506,75.69835112,1.601341607
63.03676686,21.14929641,2.916221997,76.16882472,1.593949901
65.22515664,20.5716022,2.94311019,76.17452876,1.608246274
59.77319369,20.64529115,3.070381996,75.78994317,1.613197563
58.04493,20.05954526,3.189903672,78.14224912,1.591275768
66.4786724,21.31769992,3.248623916,83.49435771,1.586322587
59.49450447,20.89042514,3.214222908,78.62435569,1.60890361
61.66324456,19.90373519,2.910644375,75.21418634,1.595750962
59.54027715,21.04241965,2.965636841,78.64769222,1.612631754
64.38592158,20.44221193,2.955170527,74.37800781,1.603440856
64.10485689,20.07604345,3.01113464,74.71257258,1.613272624
64.79642547,19.50354471,2.847383815,75.23022314,1.583139724
65.86812275,20.42762173,2.830964981,71.85820808,1.580207186
68.73524473,20.18226948,3.040879927,74.32186966,1.571785779
66.98145655,20.54097392,2.968267504,74.63137269,1.585011041
63.27169097,20.14669457,3.001192494,76.52998662,1.58919139
60.84847852,21.09661105,3.051055443,75.09898157,1.606364773
64.36816867,21.73464054,3.124364811,80.58307797,1.580719893
67.5153828,21.05655795,3.151689146,81.31194365,1.572648356
76.66338338,19.98241441,2.948608609,77.28171532,1.54706331
61.3194072,21.41951083,3.029844542,77.36776465,1.60224851
61.64969263,21.40524213,3.094372915,76.76471353,1.604536241
63.67154975,21.10609386,2.915833049,75.49920468,1.594704738
69.00712934,21.47505381,3.181672284,79.98497178,1.573425918
73.09309915,20.40831347,2.966695985,76.87999164,1.559700839
73.2100211,20.6240821,3.040819106,81.89529973,1.561471254
66.0758155,21.45004303,3.108973735,77.04456055,1.591395366
71.04820418,21.26983326,3.046033612,79.29473371,1.569507687
75.82956811,19.51695922,3.127167299,74.70937205,1.550893632
66.31571926,21.44432938,3.196069064,77.93182966,1.593711523
72.79496605,19.55626801,3.016934794,76.59357801,1.556314893
71.67143563,20.48723484,2.913915954,77.5493312,1.572192106
78.73787176,20.29374808,3.0399041,83.49447778,1.53372215
73.06934863,21.62044837,3.072448367,75.93251545,1.565329421
71.00395691,20.09849182,3.064193121,78.71697176,1.557827406
63.49683503,21.01027482,3.121457044,76.81436234,1.596414283
84.93153213,19.32885667,3.005140033,75.74663921,1.514837527
75.15790554,19.83527036,2.89366872,85.86725975,1.512761168
64.39402428,21.83689445,3.091220654,76.97231284,1.602492907
64.99854319,21.3911867,3.126950973,78.38136357,1.592340521
65.54872804,21.36427137,3.062444713,77.55912943,1.588975536
71.36409188,21.5530507,3.021460194,77.26756477,1.585543877
72.52985973,22.34770879,2.936796887,76.08053938,1.591401269
67.92693941,21.52763593,3.173022157,78.14180835,1.586318076
73.48854049,21.4144569,2.829567309,78.44417579,1.558306079
74.85542859,21.59738544,2.841915509,77.67709622,1.558192301
72.85904897,21.14950984,2.80873062,77.77673236,1.563684974
67.90637122,21.59405365,2.962276942,76.95981218,1.598773814
73.30681532,21.20501694,2.864503023,78.48043956,1.555625316
70.00450343,21.63954993,2.938640872,76.62277287,1.593328889
73.26918017,21.65464006,2.897962483,77.70437328,1.567362569
74.63656763,21.84901893,2.847215017,77.92668747,1.564324625
71.21110584,21.3801316,3.059365426,78.08440616,1.566338516
74.41713163,21.23487027,2.85731931,76.95979675,1.558376317
70.39920433,21.78109446,2.83855303,76.55238752,1.592785341
72.18277522,21.2163074,3.150323247,77.73458084,1.579519407
65.3843946,21.41963304,3.081599893,77.87924792,1.594314254
70.2860717,22.29875874,2.949604279,74.93680548,1.603748592
74.25009924,21.373137,2.812452852,77.52294856,1.566825017
74.26488021,21.04631619,2.7968081,78.96726607,1.552960056
70.09002437,22.03043756,3.166565934,77.12717098,1.608083753
73.92559375,20.51953606,2.794496394,77.83330457,1.548942053
67.4618067,21.1552344,3.113809741,79.13722123,1.591629237
73.36028717,21.23818136,2.911389211,79.11685412,1.562423957
76.27840498,21.60230779,2.97035514,77.65576262,1.565659635
70.19251403,21.31761816,2.930762334,75.0353708,1.597888032
73.31560797,20.94714111,2.947797208,76.99595527,1.595159359
70.65501322,20.6618795,2.790199617,74.86811895,1.58216894
72.66624129,20.99945423,2.873377684,76.86934654,1.565569587
67.21002749,21.42473276,2.957120408,75.12973566,1.599219289
70.12296452,21.24314836,2.95702997,76.62486294,1.58663044
71.16179748,20.04480625,2.833656132,76.83815367,1.584467777
66.95509563,21.4818046,3.038534264,76.73912936,1.59299517
74.37705612,20.23110995,2.860898959,75.85530627,1.557141316
71.05889864,22.06143782,3.003898966,78.85178936,1.588567523
71.4982745,19.81475144,2.717908862,76.07021812,1.567770529
72.69458107,21.37478639,2.803465905,77.67490286,1.568307267
68.43622035,21.37277784,2.870618232,77.41625716,1.585069901
60.37626303,22.36841564,3.147761735,78.61445399,1.610092485
62.56473374,21.33224951,3.005894552,78.39516765,1.583315582
59.41111021,21.83047035,3.108242725,77.73688949,1.601544022
66.72907227,21.45376584,2.905763276,75.90617679,1.592839668
61.82748278,20.97605486,2.902375768,75.22050579,1.609727824
60.912652,21.60099531,3.007507607,74.02124471,1.60831583
65.24122326,21.68750373,3.134050356,78.79708601,1.593719185
59.1952611,21.99945503,3.036099694,74.88915452,1.627970308
60.36784548,22.14715973,3.01148354,75.84044024,1.613670056
59.761251,22.04855386,3.134154861,78.46076985,1.617464187
62.63041642,21.38165386,3.188407931,76.32634947,1.627659259
60.29841319,21.96877828,3.15998464,79.82183051,1.60836146
62.83905636,20.7799127,2.945257734,75.32502928,1.597502905
64.79749583,21.71380201,3.057756904,79.555578,1.587657207
60.12608517,21.38923548,3.076761599,75.18467369,1.631815015
66.00032409,21.1209309,2.968792547,76.16788585,1.580052945
62.6474152,22.06630921,3.245307711,79.63987786,1.620871362
65.08480202,21.28596697,3.002043083,76.96323655,1.596700135
70.19915923,21.30558977,2.900123169,81.27833931,1.559611405
61.79132879,21.90650152,3.150717803,77.40098182,1.618712061
65.93244278,21.5464297,3.191532108,79.89303704,1.595043193
66.16305871,20.98199782,2.987423143,80.15864731,1.59177986
61.43484616,21.61969194,3.167314804,79.11434713,1.614519566
66.92305512,21.81831551,3.051808872,79.41167882,1.594342673
61.71158825,22.1175451,3.116964935,81.48938955,1.614991936
66.35497135,19.72816428,2.796979589,79.36128529,1.580637974
71.86512747,21.06667805,2.81340887,77.52509224,1.558838953
68.10456337,20.97163917,2.872378192,78.51871762,1.574754232
71.50065207,20.14006911,3.073967738,75.50203248,1.559560526
67.32533056,21.98879401,3.132717895,78.87499715,1.592267438
69.28679333,21.08960307,2.919707988,76.74115116,1.574104117
68.90536324,20.75881126,2.85749681,77.14889543,1.571023586
72.30574963,21.0446129,2.931642577,79.20603194,1.562061784
73.08513343,21.28658852,2.786650757,79.66679694,1.555891924
66.04330425,20.73626071,2.92360471,80.41750994,1.582176224
71.69305956,19.80378817,2.884196395,74.06391537,1.56780288
69.74732813,17.90812086,2.938368274,73.18656544,1.542480042
73.88718992,19.56135957,2.867005425,74.87920658,1.54851319
69.14337399,20.14662234,2.921791621,74.76099515,1.570138057
69.53396191,19.70096559,2.858099907,78.39028385,1.558656325
71.93090415,20.26885086,2.977335208,74.98064042,1.569813284
65.86561755,19.29677358,3.072048949,70.53447282,1.595922007
70.10556185,19.66293176,3.113478962,73.52538591,1.57356082
68.47544808,19.95711635,3.027830342,74.22132083,1.578897517
74.50595854,18.71250974,2.769629939,76.652101,1.534686022
75.05058606,19.64182387,2.961424594,74.65503362,1.54395417
70.98035828,20.00136446,2.93799054,76.58168446,1.562523472
67.58457685,20.37094108,3.011157133,73.74441688,1.5920635
68.93725441,20.03395124,3.075111588,73.69084386,1.580100036
72.25386743,18.1016189,2.774269963,72.92105461,1.545991031
69.04886261,18.93205022,2.851667275,75.21430129,1.558819406
71.92399533,18.82796239,2.69770389,74.51617034,1.555832998
70.70085978,18.74512789,2.772635336,76.60597026,1.564934196
72.31152326,18.61437153,3.010912999,74.54919478,1.541780138
75.06469146,19.88506889,2.930562342,75.69830199,1.544361579
70.64965136,19.9308667,2.922139923,77.15805916,1.558621635
73.94573189,20.82270542,2.949643384,77.79909085,1.560188732
76.84492487,20.82146581,3.165685373,76.31621895,1.563133899
78.40471645,21.96117812,3.03990016,82.93671625,1.544925854
79.90518853,21.36240644,3.355966671,77.54814857,1.564614883
73.78093779,19.14215957,2.867463479,80.80966044,1.527210143
81.17241015,22.13994951,3.196249549,78.50969924,1.552408279
74.27147799,21.2242882,2.944264028,80.10148856,1.566302835
78.30087573,21.06647206,2.986113428,85.90862177,1.539388773
80.81507168,20.83341686,2.967061745,79.65819844,1.566394187
77.10200881,21.73863436,2.97160793,75.63526652,1.581041781
71.9785526,19.90472735,2.912264342,72.98059497,1.571958847
79.79090671,22.42292573,3.101960784,87.78257968,1.54830317
83.16950121,20.99061087,2.949136933,80.31288623,1.534593413
73.99879576,22.05866575,3.105302771,77.00085015,1.57537238
76.44061524,21.81886323,3.337322006,77.60866818,1.564125733
76.1015224,20.42827376,2.975334318,78.29239764,1.539610869
78.40673516,21.15855403,3.071784627,76.79853767,1.552306963
80.96797568,21.25264664,3.432188841,77.84024678,1.561999034
81.80299065,20.01370237,3.218619698,80.08570093,1.535064162
72.29326656,20.35022816,2.957289928,78.27095159,1.560572744
69.43445702,20.15078325,2.880749449,76.29976488,1.554131685
69.22666205,21.2995468,2.884304155,76.05781174,1.599095754
74.2695114,19.20762215,2.996449511,80.63267101,1.531822283
68.47845434,21.26898598,2.946099044,76.56365227,1.600370459
71.08213316,21.1795413,2.961678913,77.33462926,1.579004575
76.05113984,19.61710928,2.956944771,82.70586275,1.539130287
77.15561006,20.25352262,2.860618383,80.67127045,1.539084342
72.14582751,20.89948959,3.088957743,77.35241995,1.576686289
71.4866512,21.30263636,2.901633309,75.09944188,1.603150952
66.70846,20.12003886,3.038026883,73.44447765,1.592271127
69.02252033,21.25812919,2.95204712,76.5746558,1.589892711
75.7194355,20.42250062,3.167467195,80.14625897,1.56040821
73.54558327,20.43798324,2.84700891,78.81278289,1.561324952
75.872,19.8998559,2.778981366,81.57758758,1.520348825
73.68752405,21.00087401,3.216720105,79.2217492,1.576086179
72.18700607,20.17408909,3.051709338,78.25967116,1.559270117
74.84149001,20.6970321,3.113703816,82.4788401,1.569947127
69.08174161,20.94064514,2.975245253,74.35481349,1.602075178
76.98807923,20.380589,2.947589262,80.69055434,1.545020783
75.41975806,20.18704973,2.812264785,80.62749496,1.54147298
77.29347881,19.67318506,3.061099454,80.80472304,1.533309824
67.50965504,21.47190456,3.088638593,79.48546682,1.581328516
63.83738088,21.37930975,3.227265842,78.62070751,1.604438239
67.91029241,21.88561203,3.168720598,78.08992252,1.593753978
66.27516165,17.23407642,2.675333484,78.26439069,1.564407031
70.46725888,19.33595178,2.997652284,79.22723985,1.54401974
71.35808383,19.6402627,3.138968515,77.07264825,1.553864466
65.08136273,17.59799599,2.811022044,75.30583166,1.566869112
73.89693034,19.60101535,2.903659976,74.51431523,1.567387603
72.6301676,19.06851397,2.970860335,78.97239553,1.53793464
73.71881486,21.33172696,3.137619905,77.29612211,1.582606556
71.81539084,18.25104984,2.844725525,90.0972173,1.527077804
69.82813661,20.85016777,3.192570401,86.95303625,1.548952411
73.38980761,20.25622916,3.072723386,80.41209491,1.562335231
76.40641232,20.82038502,3.108260413,77.19353868,1.551137356
75.52430834,20.06023231,2.938162619,87.9464604,1.5439357
71.89192759,22.90291585,3.179843444,83.1806727,1.57505749
